Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
check-team,Chrome 125.0.0.0,,,01-06-2024 00:15:15,01-06-2024 00:16:50,1m - 34.408s,PASSED
,,,,,,,
Test Cases/KMS/KMS-Global-Team-Clickable,Chrome 125.0.0.0,,,01-06-2024 00:15:16,01-06-2024 00:16:50,1m - 33.422s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,01-06-2024 00:15:21,01-06-2024 00:15:55,34.381s,PASSED
"navigateToUrl(""https://kms-technology.com/"")",Chrome 125.0.0.0,,,01-06-2024 00:15:55,01-06-2024 00:15:57,1.800s,PASSED
"click(findTestObject(""Object Repository/KMS/Page_Custom Software Development  Consultin_0ef814/a_Learn More About Our Global Teams""))",Chrome 125.0.0.0,,,01-06-2024 00:15:57,01-06-2024 00:16:33,35.942s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,01-06-2024 00:16:33,01-06-2024 00:16:50,16.861s,PASSED
