Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
fpt-suites,Chrome 125.0.0.0,,,01-06-2024 00:03:54,01-06-2024 00:37:54,34m - 0.089s,FAILED
,,,,,,,
Test Cases/FPT-TC-16-Journey-Clickable,Chrome 125.0.0.0,,,01-06-2024 00:09:14,01-06-2024 00:11:01,1m - 47.325s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,01-06-2024 00:09:14,01-06-2024 00:09:46,31.751s,PASSED
"navigateToUrl(""https://fptsoftware.com/"")",Chrome 125.0.0.0,,,01-06-2024 00:09:46,01-06-2024 00:10:22,36.012s,PASSED
"click(findTestObject(""Object Repository/FPT/Page_Accompany You on Your Transformation J_93dfc8/a_Accompany You on Your Transformation Journey""))",Chrome 125.0.0.0,,,01-06-2024 00:10:22,01-06-2024 00:11:01,39.502s,FAILED
,,,,,,,
Test Cases/FPT-TC05-Verify-ContactUS-From,Chrome 125.0.0.0,,,01-06-2024 00:16:05,01-06-2024 00:17:31,1m - 25.862s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,01-06-2024 00:16:05,01-06-2024 00:16:47,41.912s,PASSED
"navigateToUrl(""https://fptsoftware.com/"")",Chrome 125.0.0.0,,,01-06-2024 00:16:47,01-06-2024 00:16:47,0.397s,PASSED
"click(findTestObject(""Object Repository/FPT/Page_FPT Software  Leading in Digital trans_9e9e5c/a_Contact us""))",Chrome 125.0.0.0,,,01-06-2024 00:16:47,01-06-2024 00:17:31,43.492s,FAILED
,,,,,,,
Test Cases/FPT-TC06-Verify-Career-Clickable,Chrome 125.0.0.0,,,01-06-2024 00:17:31,01-06-2024 00:18:29,58.388s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,01-06-2024 00:17:32,01-06-2024 00:17:36,4.354s,PASSED
"navigateToUrl(""https://fptsoftware.com/"")",Chrome 125.0.0.0,,,01-06-2024 00:17:36,01-06-2024 00:17:56,20.117s,PASSED
"click(findTestObject(""Object Repository/FPT/Page_FPT Software  Leading in Digital trans_9e9e5c/a_Career""))",Chrome 125.0.0.0,,,01-06-2024 00:17:56,01-06-2024 00:18:29,32.371s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,01-06-2024 00:18:29,01-06-2024 00:18:29,0.547s,PASSED
,,,,,,,
Test Cases/FPT-TC19-Mission-Visibility,Chrome 125.0.0.0,,,01-06-2024 00:18:29,01-06-2024 00:19:10,41.134s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,01-06-2024 00:18:29,01-06-2024 00:18:30,0.981s,PASSED
"navigateToUrl(""https://fptsoftware.com/"")",Chrome 125.0.0.0,,,01-06-2024 00:18:30,01-06-2024 00:18:36,5.426s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/FPT/Page_FPT Software  Leading in Digital trans_9e9e5c/div_WE ARE                              a c_6fe479""))",Chrome 125.0.0.0,,,01-06-2024 00:18:36,01-06-2024 00:19:10,34.344s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,01-06-2024 00:19:10,01-06-2024 00:19:10,0.228s,PASSED
,,,,,,,
Test Cases/FPT-TC18-Check-Banner-Visibility,Chrome 125.0.0.0,,,01-06-2024 00:19:10,01-06-2024 00:19:14,3.329s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,01-06-2024 00:19:10,01-06-2024 00:19:11,1.056s,PASSED
"navigateToUrl(""https://fptsoftware.com/"")",Chrome 125.0.0.0,,,01-06-2024 00:19:11,01-06-2024 00:19:12,0.391s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,01-06-2024 00:19:12,01-06-2024 00:19:14,1.750s,PASSED
,,,,,,,
Test Cases/FPT-TC17-Verify-OurServices,Chrome 125.0.0.0,,,01-06-2024 00:22:08,01-06-2024 00:22:58,50.177s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,01-06-2024 00:22:08,01-06-2024 00:22:10,2.100s,PASSED
"navigateToUrl(""https://fptsoftware.com/"")",Chrome 125.0.0.0,,,01-06-2024 00:22:10,01-06-2024 00:22:16,5.422s,PASSED
"verifyElementText(findTestObject(""Object Repository/FPT/Page_FPT Software  Leading in Digital trans_9e9e5c/span_Our services""), ""OUR SERVICES"")",Chrome 125.0.0.0,,,01-06-2024 00:22:16,01-06-2024 00:22:58,42.595s,FAILED
,,,,,,,
