Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Verify_Toogle_Menu_Bar,Chrome 125.0.0.0,,,28-05-2024 21:43:59,28-05-2024 21:44:30,30.326s,PASSED
,,,,,,,
Test Cases/CURA Healthcare/Verify_Toogle_Menu_Items,Chrome 125.0.0.0,,,28-05-2024 21:44:00,28-05-2024 21:44:14,13.967s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:44:01,28-05-2024 21:44:06,5.395s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 125.0.0.0,,,28-05-2024 21:44:06,28-05-2024 21:44:10,3.684s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Chrome 125.0.0.0,,,28-05-2024 21:44:10,28-05-2024 21:44:11,0.893s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_CURA Healthcare""), ""CURA Healthcare"")",Chrome 125.0.0.0,,,28-05-2024 21:44:11,28-05-2024 21:44:12,0.910s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Home""), ""Home"")",Chrome 125.0.0.0,,,28-05-2024 21:44:12,28-05-2024 21:44:13,0.749s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Login""), ""Login"")",Chrome 125.0.0.0,,,28-05-2024 21:44:13,28-05-2024 21:44:13,0.725s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:44:13,28-05-2024 21:44:14,0.658s,PASSED
,,,,,,,
Test Cases/CURA Healthcare/Verify_Toggle_Menu,Chrome 125.0.0.0,,,28-05-2024 21:44:14,28-05-2024 21:44:22,7.656s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:44:14,28-05-2024 21:44:17,2.927s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 125.0.0.0,,,28-05-2024 21:44:17,28-05-2024 21:44:19,1.214s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Chrome 125.0.0.0,,,28-05-2024 21:44:19,28-05-2024 21:44:21,2.306s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:44:21,28-05-2024 21:44:22,0.915s,PASSED
,,,,,,,
Test Cases/CURA Healthcare/Verify_Clickable_Toggle_Menu,Chrome 125.0.0.0,,,28-05-2024 21:44:22,28-05-2024 21:44:30,8.029s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:44:22,28-05-2024 21:44:24,1.972s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 125.0.0.0,,,28-05-2024 21:44:24,28-05-2024 21:44:27,3.032s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Chrome 125.0.0.0,,,28-05-2024 21:44:27,28-05-2024 21:44:28,0.909s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/nav_CURA Healthcare                        _1b5e83""))",Chrome 125.0.0.0,,,28-05-2024 21:44:28,28-05-2024 21:44:29,0.682s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:44:29,28-05-2024 21:44:30,1.241s,PASSED
