Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
check-nav-suites,Chrome 125.0.0.0,,,28-05-2024 21:48:05,28-05-2024 21:57:20,9m - 15.664s,PASSED
,,,,,,,
Test Cases/Sutrix/check-banner,Chrome 125.0.0.0,,,28-05-2024 21:48:05,28-05-2024 21:48:37,31.412s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:48:06,28-05-2024 21:48:10,3.694s,PASSED
"navigateToUrl(""https://sutrixgroup.com/en/"")",Chrome 125.0.0.0,,,28-05-2024 21:48:10,28-05-2024 21:48:32,22.860s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Sutrix/Page_Sutrix Group  Global System Integrator/div_We use cookiesHi, this website uses ess_7bae85""))",Chrome 125.0.0.0,,,28-05-2024 21:48:32,28-05-2024 21:48:36,3.738s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:48:36,28-05-2024 21:48:37,0.361s,PASSED
,,,,,,,
Test Cases/Sutrix/check-contact-us-button,Chrome 125.0.0.0,,,28-05-2024 21:48:37,28-05-2024 21:48:58,21.541s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:48:37,28-05-2024 21:48:39,1.787s,PASSED
"navigateToUrl(""https://sutrixgroup.com/en/"")",Chrome 125.0.0.0,,,28-05-2024 21:48:39,28-05-2024 21:48:52,13.740s,PASSED
"click(findTestObject(""Object Repository/Sutrix/Page_Sutrix Group  Global System Integrator/a_Contact Us""))",Chrome 125.0.0.0,,,28-05-2024 21:48:52,28-05-2024 21:48:58,5.476s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:48:58,28-05-2024 21:48:58,0.306s,PASSED
,,,,,,,
Test Cases/Sutrix/check-footer,Chrome 125.0.0.0,,,28-05-2024 21:50:06,28-05-2024 21:50:24,17.351s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:50:07,28-05-2024 21:50:09,2.391s,PASSED
"navigateToUrl(""https://sutrixgroup.com/en/"")",Chrome 125.0.0.0,,,28-05-2024 21:50:09,28-05-2024 21:50:21,11.567s,PASSED
"click(findTestObject(""Object Repository/Sutrix/Page_Sutrix Group  Global System Integrator/a_About""))",Chrome 125.0.0.0,,,28-05-2024 21:50:21,28-05-2024 21:50:24,3.325s,PASSED
,,,,,,,
Test Cases/Sutrix/check-logo,Chrome 125.0.0.0,,,28-05-2024 21:50:24,28-05-2024 21:50:52,27.855s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:50:25,28-05-2024 21:50:28,3.789s,PASSED
"navigateToUrl(""https://sutrixgroup.com/en/"")",Chrome 125.0.0.0,,,28-05-2024 21:50:28,28-05-2024 21:50:51,22.355s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Sutrix/Page_Sutrix Group  Global System Integrator/img_About_logo-white""))",Chrome 125.0.0.0,,,28-05-2024 21:50:51,28-05-2024 21:50:51,0.627s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:50:51,28-05-2024 21:50:52,0.433s,PASSED
,,,,,,,
Test Cases/Sutrix/check-menu,Chrome 125.0.0.0,,,28-05-2024 21:50:52,28-05-2024 21:51:13,21.622s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:50:52,28-05-2024 21:50:54,1.612s,PASSED
"navigateToUrl(""https://sutrixgroup.com/en/"")",Chrome 125.0.0.0,,,28-05-2024 21:50:54,28-05-2024 21:50:55,1.797s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Sutrix/Page_Sutrix Group  Global System Integrator/div_AboutServicesWorkApproachPartnershipsVi_85df2e""))",Chrome 125.0.0.0,,,28-05-2024 21:50:55,28-05-2024 21:51:13,17.707s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:51:13,28-05-2024 21:51:13,0.347s,PASSED
,,,,,,,
Test Cases/Sutrix/check-slogan-text,Chrome 125.0.0.0,,,28-05-2024 21:52:30,28-05-2024 21:53:18,48.106s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:52:30,28-05-2024 21:52:32,2.383s,PASSED
"navigateToUrl(""https://sutrixgroup.com/en/"")",Chrome 125.0.0.0,,,28-05-2024 21:52:32,28-05-2024 21:53:11,38.781s,PASSED
"click(findTestObject(""Object Repository/Sutrix/Page_Sutrix Group  Global System Integrator/button_Accept all""))",Chrome 125.0.0.0,,,28-05-2024 21:53:11,28-05-2024 21:53:14,3.319s,PASSED
"click(findTestObject(""Object Repository/Sutrix/Page_Sutrix Group  Global System Integrator/div_Build Compelling ExperiencesWith over 2_5e97cc""))",Chrome 125.0.0.0,,,28-05-2024 21:53:14,28-05-2024 21:53:16,1.460s,PASSED
"click(findTestObject(""Object Repository/Sutrix/Page_Sutrix Group  Global System Integrator/button_Contact Us_btn btn-scroll-to""))",Chrome 125.0.0.0,,,28-05-2024 21:53:16,28-05-2024 21:53:17,1.289s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:53:17,28-05-2024 21:53:18,0.823s,PASSED
,,,,,,,
Test Cases/Sutrix/check-visit-japans-site,Chrome 125.0.0.0,,,28-05-2024 21:53:18,28-05-2024 21:54:57,1m - 39.315s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:53:18,28-05-2024 21:53:20,2.326s,PASSED
"navigateToUrl(""https://sutrixgroup.com/en/"")",Chrome 125.0.0.0,,,28-05-2024 21:53:20,28-05-2024 21:54:50,1m - 29.775s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Sutrix/Page_Sutrix Group  Global System Integrator/a_Visit Japan Site""), 0)",Chrome 125.0.0.0,,,28-05-2024 21:54:50,28-05-2024 21:54:51,0.633s,PASSED
"click(findTestObject(""Object Repository/Sutrix/Page_Sutrix Group  Global System Integrator/a_Visit Japan Site""))",Chrome 125.0.0.0,,,28-05-2024 21:54:51,28-05-2024 21:54:56,5.181s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:54:56,28-05-2024 21:54:57,1.219s,PASSED
,,,,,,,
Test Cases/Sutrix/click-approaches,Chrome 125.0.0.0,,,28-05-2024 21:54:57,28-05-2024 21:55:25,27.718s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:54:57,28-05-2024 21:54:59,1.341s,PASSED
"navigateToUrl(""https://sutrixgroup.com/en/"")",Chrome 125.0.0.0,,,28-05-2024 21:54:59,28-05-2024 21:55:22,23.195s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Sutrix/Page_Sutrix Group  Global System Integrator/a_Approach""), 0)",Chrome 125.0.0.0,,,28-05-2024 21:55:22,28-05-2024 21:55:24,1.827s,PASSED
"click(findTestObject(""Object Repository/Sutrix/Page_Sutrix Group  Global System Integrator/a_Approach""))",Chrome 125.0.0.0,,,28-05-2024 21:55:24,28-05-2024 21:55:25,0.851s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 21:55:25,28-05-2024 21:55:25,0.365s,PASSED
,,,,,,,
Test Cases/Sutrix/click-service,Chrome 125.0.0.0,,,28-05-2024 21:55:25,28-05-2024 21:55:41,15.626s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 21:55:25,28-05-2024 21:55:27,1.727s,PASSED
