Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
check-banner,Chrome 125.0.0.0,,,26-05-2024 21:37:37,26-05-2024 21:39:24,1m - 46.630s,PASSED
,,,,,,,
Test Cases/KMS/KMS-Check-Body,Chrome 125.0.0.0,,,26-05-2024 21:37:38,26-05-2024 21:39:24,1m - 46.411s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,26-05-2024 21:37:38,26-05-2024 21:37:39,1.540s,PASSED
"navigateToUrl(""https://kms-technology.com/"")",Chrome 125.0.0.0,,,26-05-2024 21:37:39,26-05-2024 21:39:22,1m - 42.916s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KMS/Page_Custom Software Development  Consultin_0ef814/div_Our End-to-End Custom Software Developm_b402b8""))",Chrome 125.0.0.0,,,26-05-2024 21:39:22,26-05-2024 21:39:24,1.466s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,26-05-2024 21:39:24,26-05-2024 21:39:24,0.239s,PASSED
