Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
check-menu,Chrome 125.0.0.0,,,01-06-2024 00:11:57,01-06-2024 00:14:16,2m - 18.635s,FAILED
,,,,,,,
Test Cases/KMS/KMS-Check-Global-Nav,Chrome 125.0.0.0,,,01-06-2024 00:13:40,01-06-2024 00:14:16,35.751s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,01-06-2024 00:13:40,01-06-2024 00:14:02,21.219s,PASSED
"navigateToUrl(""https://kms-technology.com/"")",Chrome 125.0.0.0,,,01-06-2024 00:14:02,01-06-2024 00:14:02,0.248s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KMS/Page_Custom Software Development  Consultin_0ef814/ul_ServicesSoftware EngineeringData Service_bfb282""))",Chrome 125.0.0.0,,,01-06-2024 00:14:02,01-06-2024 00:14:06,3.769s,FAILED
