Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
check-banner,Chrome 125.0.0.0,,,01-06-2024 00:09:24,01-06-2024 00:09:50,25.392s,PASSED
,,,,,,,
Test Cases/KMS/KMS-Check-Body,Chrome 125.0.0.0,,,01-06-2024 00:09:25,01-06-2024 00:09:50,24.670s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,01-06-2024 00:09:28,01-06-2024 00:09:39,11.611s,PASSED
"navigateToUrl(""https://kms-technology.com/"")",Chrome 125.0.0.0,,,01-06-2024 00:09:39,01-06-2024 00:09:41,2.018s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/KMS/Page_Custom Software Development  Consultin_0ef814/div_Our End-to-End Custom Software Developm_b402b8""))",Chrome 125.0.0.0,,,01-06-2024 00:09:41,01-06-2024 00:09:47,5.720s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,01-06-2024 00:09:47,01-06-2024 00:09:50,2.444s,PASSED
